rm,time
1450.2,2021-11-19T03:08:42.737+00:00
1436.6,2021-11-19T03:12:42.682+00:00
1418.2,2021-11-19T03:16:42.701+00:00
1429.3,2021-11-19T03:20:42.698+00:00
1457.9,2021-11-19T03:24:42.785+00:00
1475.0,2021-11-19T03:28:42.797+00:00
1470.9,2021-11-19T03:32:42.785+00:00
1462.7,2021-11-19T03:36:42.727+00:00
1455.7,2021-11-19T03:40:42.77+00:00
1453.9,2021-11-19T03:44:42.773+00:00
1456.0,2021-11-19T03:48:42.779+00:00
1451.7,2021-11-19T03:52:42.776+00:00
1454.3,2021-11-19T03:56:42.793+00:00
1452.7,2021-11-19T04:00:42.796+00:00
1445.5,2021-11-19T04:04:42.811+00:00
1444.3,2021-11-19T04:08:42.789+00:00
1451.0,2021-11-19T04:12:42.785+00:00
1457.0,2021-11-19T04:16:42.791+00:00
1460.7,2021-11-19T04:20:42.785+00:00
1467.6,2021-11-19T04:24:42.986+00:00
1465.9,2021-11-19T04:28:42.807+00:00
1462.0,2021-11-19T04:32:42.814+00:00
1460.8,2021-11-19T04:36:42.79+00:00
1465.4,2021-11-19T04:40:42.795+00:00
1457.4,2021-11-19T04:44:42.891+00:00
1481.7,2021-11-19T04:48:42.874+00:00
1476.7,2021-11-19T04:52:42.795+00:00
1473.5,2021-11-19T04:56:42.795+00:00
1474.4,2021-11-19T05:00:43.088+00:00
1515.9,2021-11-19T05:04:42.841+00:00
1535.7,2021-11-19T05:08:42.905+00:00
1540.7,2021-11-19T05:12:42.768+00:00
1532.9,2021-11-19T05:16:43.079+00:00
1543.6,2021-11-19T05:20:42.871+00:00
1537.4,2021-11-19T05:24:42.886+00:00
1518.7,2021-11-19T05:28:42.908+00:00
1506.1,2021-11-19T05:32:42.898+00:00
1518.1,2021-11-19T05:36:42.879+00:00
1524.6,2021-11-19T05:40:42.886+00:00
1507.9,2021-11-19T05:44:42.892+00:00
1496.2,2021-11-19T05:48:42.881+00:00
1504.1,2021-11-19T05:52:42.899+00:00
1507.5,2021-11-19T05:56:42.886+00:00
1500.9,2021-11-19T06:00:42.971+00:00
1489.4,2021-11-19T06:04:42.966+00:00
1502.0,2021-11-19T06:08:42.96+00:00
1520.1,2021-11-19T06:12:42.891+00:00
1520.1,2021-11-19T06:16:42.987+00:00
1497.1,2021-11-19T06:20:42.926+00:00
1507.4,2021-11-19T06:24:42.986+00:00
1507.4,2021-11-19T06:28:42.885+00:00
1536.4,2021-11-19T06:32:42.999+00:00
1546.5,2021-11-19T06:36:42.988+00:00
1556.1,2021-11-19T06:40:43.155+00:00
1545.5,2021-11-19T06:44:43.146+00:00
1550.2,2021-11-19T06:48:43.086+00:00
1537.9,2021-11-19T06:52:43.092+00:00
1537.4,2021-11-19T06:56:42.987+00:00
1535.4,2021-11-19T07:00:43.06+00:00
1533.9,2021-11-19T07:04:43.016+00:00
1515.8,2021-11-19T07:08:43.102+00:00
1507.6,2021-11-19T07:12:43.007+00:00
1507.0,2021-11-19T07:16:43.076+00:00
1504.4,2021-11-19T07:20:43.012+00:00
1524.4,2021-11-19T07:24:43.103+00:00
1535.6,2021-11-19T07:28:43.05+00:00
1540.6,2021-11-19T07:32:43.084+00:00
1525.4,2021-11-19T07:36:43.159+00:00
1541.9,2021-11-19T07:40:42.97+00:00
1530.3,2021-11-19T07:44:43.202+00:00
1513.6,2021-11-19T07:48:43+00:00
1508.1,2021-11-19T07:52:43.13+00:00
1537.8,2021-11-19T07:56:43.078+00:00
1577.3,2021-11-19T08:00:43.1+00:00
1598.5,2021-11-19T08:04:43.091+00:00
1567.3,2021-11-19T08:08:43.112+00:00
1541.0,2021-11-19T08:12:43.09+00:00
1574.2,2021-11-19T08:16:43.296+00:00
1601.6,2021-11-19T08:20:43.107+00:00
1610.2,2021-11-19T08:24:43.206+00:00
1567.9,2021-11-19T08:28:43.105+00:00
1538.3,2021-11-19T08:32:43.101+00:00
1523.5,2021-11-19T08:36:43.155+00:00
1532.2,2021-11-19T08:40:43.229+00:00
1552.7,2021-11-19T08:44:43.267+00:00
1565.8,2021-11-19T08:48:43.183+00:00
1571.2,2021-11-19T08:52:43.109+00:00
1574.4,2021-11-19T08:56:43.209+00:00
1569.3,2021-11-19T09:00:43.158+00:00
1576.8,2021-11-19T09:04:43.248+00:00
1571.5,2021-11-19T09:08:43.242+00:00
1561.5,2021-11-19T09:12:43.226+00:00
1541.2,2021-11-19T09:16:43.209+00:00
1533.2,2021-11-19T09:20:43.263+00:00
1526.9,2021-11-19T09:24:43.198+00:00
1532.3,2021-11-19T09:28:43.346+00:00
1552.5,2021-11-19T09:32:43.212+00:00
1589.7,2021-11-19T09:36:43.282+00:00
1611.1,2021-11-19T09:40:43.21+00:00
1597.0,2021-11-19T09:44:43.408+00:00
1573.5,2021-11-19T09:48:43.293+00:00
1551.6,2021-11-19T09:52:43.213+00:00
1549.2,2021-11-19T09:58:43.876+00:00
1557.5,2021-11-19T10:02:43.283+00:00
1575.0,2021-11-19T10:06:43.395+00:00
1578.5,2021-11-19T10:10:43.454+00:00
1572.4,2021-11-19T10:14:43.354+00:00
1561.4,2021-11-19T10:18:43.357+00:00
1551.6,2021-11-19T10:22:43.405+00:00
1549.6,2021-11-19T10:26:43.376+00:00
1554.9,2021-11-19T10:30:43.405+00:00
1553.2,2021-11-19T10:34:43.652+00:00
1557.2,2021-11-19T10:38:43.393+00:00
1553.4,2021-11-19T10:42:43.395+00:00
1554.5,2021-11-19T10:46:43.417+00:00
1553.9,2021-11-19T10:50:43.685+00:00
1571.5,2021-11-19T10:54:43.554+00:00
1585.4,2021-11-19T10:58:43.554+00:00
1604.6,2021-11-19T11:02:43.386+00:00
1601.8,2021-11-19T11:06:43.334+00:00
1595.9,2021-11-19T11:10:43.354+00:00
1599.1,2021-11-19T11:14:43.307+00:00
1598.1,2021-11-19T11:18:43.346+00:00
1593.6,2021-11-19T11:22:43.613+00:00
1590.2,2021-11-19T11:26:43.318+00:00
1596.9,2021-11-19T11:30:43.306+00:00
1594.9,2021-11-19T11:34:43.359+00:00
1598.3,2021-11-19T11:38:43.33+00:00
1602.9,2021-11-19T11:42:43.653+00:00
1599.7,2021-11-19T11:46:43.37+00:00
1589.7,2021-11-19T11:50:43.416+00:00
1576.1,2021-11-19T11:54:43.541+00:00
1586.0,2021-11-19T11:58:43.462+00:00
1580.0,2021-11-19T12:02:43.388+00:00
1575.8,2021-11-19T12:06:43.385+00:00
1581.4,2021-11-19T12:10:43.454+00:00
1581.4,2021-11-19T12:14:43.415+00:00
1567.2,2021-11-19T12:18:43.43+00:00
1561.1,2021-11-19T12:22:47.16+00:00
1561.4,2021-11-19T12:26:43.435+00:00
1555.3,2021-11-19T12:30:43.613+00:00
1554.1,2021-11-19T12:34:43.467+00:00
1561.5,2021-11-19T12:38:43.715+00:00
1559.3,2021-11-19T12:42:43.523+00:00
1560.2,2021-11-19T12:46:43.614+00:00
1567.0,2021-11-19T12:50:43.69+00:00
1569.7,2021-11-19T12:54:43.602+00:00
1574.9,2021-11-19T12:58:43.62+00:00
1565.9,2021-11-19T13:02:43.642+00:00
1558.5,2021-11-19T13:06:43.475+00:00
1552.8,2021-11-19T13:10:43.652+00:00
1565.4,2021-11-19T13:14:43.645+00:00
1562.6,2021-11-19T13:18:43.605+00:00
1565.7,2021-11-19T13:22:43.731+00:00
1570.7,2021-11-19T13:26:43.455+00:00
1567.7,2021-11-19T13:30:43.722+00:00
1543.4,2021-11-19T13:34:43.715+00:00
1540.0,2021-11-19T13:38:43.554+00:00
1538.4,2021-11-19T13:42:43.712+00:00
1560.0,2021-11-19T13:46:43.519+00:00
1555.8,2021-11-19T13:50:43.511+00:00
1554.0,2021-11-19T13:54:43.608+00:00
1567.6,2021-11-19T13:58:43.554+00:00
1571.3,2021-11-19T14:02:43.664+00:00
1573.7,2021-11-19T14:06:43.725+00:00
1575.4,2021-11-19T14:10:43.726+00:00
1585.4,2021-11-19T14:14:43.678+00:00
1576.7,2021-11-19T14:18:43.521+00:00
1578.4,2021-11-19T14:22:43.784+00:00
1579.5,2021-11-19T14:26:44.755+00:00
1586.6,2021-11-19T14:30:43.743+00:00
1582.8,2021-11-19T14:34:43.755+00:00
1568.6,2021-11-19T14:38:43.81+00:00
1572.9,2021-11-19T14:42:43.654+00:00
1572.6,2021-11-19T14:46:44.466+00:00
1566.3,2021-11-19T14:50:43.561+00:00
1565.2,2021-11-19T14:54:43.71+00:00
1568.2,2021-11-19T14:58:43.656+00:00
1564.9,2021-11-19T15:02:43.789+00:00
1564.4,2021-11-19T15:06:43.761+00:00
1563.2,2021-11-19T15:10:43.74+00:00
1559.4,2021-11-19T15:14:43.621+00:00
1555.8,2021-11-19T15:18:43.809+00:00
1556.9,2021-11-19T15:22:43.795+00:00
1560.6,2021-11-19T15:26:43.78+00:00
1555.3,2021-11-19T15:30:43.817+00:00
